epoch		 total_loss		 accuracy
0		 0.030278		 0.235174
1		 0.026410		 0.217061
2		 0.026139		 0.254747
3		 0.025575		 0.239264
4		 0.024942		 0.264388
5		 0.023928		 0.303827
6		 0.022626		 0.315805
7		 0.021625		 0.332165
8		 0.020195		 0.343850
9		 0.019037		 0.407245
10		 0.017658		 0.408122
11		 0.017039		 0.408122
12		 0.016461		 0.417762
13		 0.016000		 0.427695
14		 0.015735		 0.437336
15		 0.015218		 0.430616
16		 0.015031		 0.442302
17		 0.014469		 0.453111
18		 0.014285		 0.461291
19		 0.013815		 0.453403
20		 0.013478		 0.467134
21		 0.013146		 0.468303
22		 0.012913		 0.472977
23		 0.012637		 0.465381
24		 0.012227		 0.478528
25		 0.012095		 0.472393
26		 0.011533		 0.491966
27		 0.011419		 0.501022
28		 0.011042		 0.490798
29		 0.010931		 0.505112
30		 0.010443		 0.512416
31		 0.010106		 0.525855
32		 0.009991		 0.531113
33		 0.009712		 0.538417
34		 0.009372		 0.534327
35		 0.009010		 0.541338
36		 0.008942		 0.539585
37		 0.008555		 0.530529
38		 0.008130		 0.540169
39		 0.008114		 0.545428
40		 0.007585		 0.546304
41		 0.007318		 0.521472
42		 0.007232		 0.565586
43		 0.006986		 0.561496
44		 0.006769		 0.564709
45		 0.006600		 0.548349
46		 0.006122		 0.590710
47		 0.006062		 0.572013
48		 0.005885		 0.580485
49		 0.005637		 0.584867
50		 0.005470		 0.599182
51		 0.005072		 0.602396
52		 0.004860		 0.593047
53		 0.004782		 0.597429
54		 0.004508		 0.599182
55		 0.004387		 0.607654
56		 0.004109		 0.607362
57		 0.003988		 0.614958
58		 0.003945		 0.609991
59		 0.003858		 0.606193
60		 0.003627		 0.613205
61		 0.003483		 0.583991
62		 0.003454		 0.627228
63		 0.003328		 0.613497
64		 0.003204		 0.615542
65		 0.003008		 0.607070
66		 0.002949		 0.615834
67		 0.003053		 0.628688
68		 0.002805		 0.617879
69		 0.002743		 0.622261
70		 0.002475		 0.632194
71		 0.002441		 0.635408
72		 0.002323		 0.610868
73		 0.002303		 0.645925
74		 0.002308		 0.644756
75		 0.002232		 0.636576
76		 0.002125		 0.649138
77		 0.002048		 0.639498
78		 0.002063		 0.638913
79		 0.002037		 0.641543
80		 0.001814		 0.607070
81		 0.001769		 0.639205
82		 0.001914		 0.645632
83		 0.001657		 0.643003
84		 0.001599		 0.641250
85		 0.001626		 0.638037
86		 0.001571		 0.645925
87		 0.001480		 0.638621
88		 0.001457		 0.655273
89		 0.001427		 0.640958
90		 0.001370		 0.649138
91		 0.001449		 0.647970
92		 0.001382		 0.644172
93		 0.001322		 0.650307
94		 0.001155		 0.643295
95		 0.001305		 0.648554
96		 0.001222		 0.650015
97		 0.001148		 0.649430
98		 0.001089		 0.657610
99		 0.001085		 0.643003
100		 0.001053		 0.661992
101		 0.001012		 0.650307
102		 0.001116		 0.657318
103		 0.001156		 0.648846
104		 0.001020		 0.660240
105		 0.000994		 0.657318
106		 0.000975		 0.631025
107		 0.000944		 0.660532
108		 0.000910		 0.656150
109		 0.000921		 0.656150
110		 0.000866		 0.657026
111		 0.000833		 0.648262
112		 0.000862		 0.639498
113		 0.000951		 0.662285
114		 0.000738		 0.656442
115		 0.000754		 0.651767
116		 0.000767		 0.655565
117		 0.000729		 0.672217
118		 0.000639		 0.665498
119		 0.000705		 0.657026
